"","year","state","state.name","gdp","population","area","latitude","longitude","CLPRB","NGMPB","NUETB","PAPRB","TETCB","CLTCB","DFTCB","EMTCB","ESTCB","GETCB","HYTCB","JFTCB","LGTCB","MMTCB","NNTCB","SOTCB","WWTCB","WYTCB","POTCB2","import","export"
"1",1960,"AK","Alaska",953.59068556934,229000,570641,63.346191,-152.8370679,11263,248,0,3242,61434,7189,15354,0,1011,0,3120,10632,177,8702,2034,0,3681,0,6075,0,0
"2",1960,"AL","Alabama",6465.57378036534,3274000,50645,32.7396323,-86.8434593,318818,94,0,42508,866851,395400,31413,0,52834,0,67128,6051,12547,129110,190706,0,45681,0,30162,0,68330
"3",1960,"AR","Arkansas",3338.00765373349,1789000,52035,34.8955256,-92.4446262,9178,57393,0,174679,426405,356,11771,0,19319,0,10671,11996,18888,77087,222202,0,37433,0,25356,7257,0
"4",1960,"AZ","Arizona",3946.43901451688,1321000,113594,34.2099643,-111.602401,132,0,0,423,283075,210,16236,0,20942,0,32169,25325,2849,64943,140275,0,4013,0,11288,0,15017
"5",1960,"CA","California",59706.3996285978,15870000,155779,37.148573,-119.5406515,0,589695,1,1771042,3451501,35903,155427,0,195405,359,187705,140653,35478,719793,1301826,0,82098,0,280569,5117,0
"6",1960,"CO","Colorado",5217.01275346107,1769000,103642,38.9935752,-105.5077737,78755,110973,0,275320,424768,68206,24431,0,16505,0,10436,2574,12289,86467,194963,0,6479,0,24318,0,17229
"7",1960,"CT","Connecticut",8696.78227273165,2544000,4842,41.5797842,-72.7466666,0,0,0,0,508131,101694,136122,0,25201,0,4564,6363,4304,101642,29449,0,12842,0,22007,0,2780
"8",1960,"DE","Delaware",1659.75848780998,449000,1949,38.9935501,-75.4473739,0,0,0,0,156707,20496,15799,0,5868,0,0,11482,4124,22660,9351,0,4982,0,30906,0,2363
"9",1960,"FL","Florida",12929.3865437675,5004000,53625,28.4574302,-82.4091478,0,41,0,2140,809836,27176,50217,0,57344,0,2990,51488,19189,226654,142900,0,32690,0,74779,0,8106
"10",1960,"GA","Georgia",9085.08651311584,3956000,57513,32.629384,-83.4232125,100,0,0,0,701562,88950,29941,0,40910,0,24810,12399,16806,168510,188460,0,71206,0,33137,26156,0
"11",1960,"HI","Hawaii",2084.16357593964,642000,6423,19.809767,-155.5061027,0,0,0,0,94855,0,5161,0,4384,0,292,23519,443,18011,0,0,0,0,17467,0,0
"12",1960,"IA","Iowa",6974.5076827283,2756000,55857,42.0700243,-93.4933473,22058,0,0,0,602393,115945,65023,0,28006,0,9481,1043,19602,154770,193688,0,6404,0,38190,0,8490
"13",1960,"ID","Idaho",1621.01611461972,671000,82643,44.3020948,-114.5956254,0,0,0,0,190689,16845,23721,0,19016,0,66333,4822,1771,36586,22776,0,11354,0,5480,0,291
"14",1960,"IL","Illinois",34792.4121418162,10086000,55519,40.1028754,-89.1526108,1020689,21185,2958,448578,2527178,914648,248096,0,116010,0,1986,24435,60167,409872,536127,0,31033,0,195791,0,64749
