Data_Status,StateCode,MSN,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
2014F,AK,CLPRB,11263,11497,13588,13307,11622,13931,14461,14430,11700,10405,8564,10889,10421,10826,10920,11950,11014,10998,11404,12308,12340,12605,12995,12262,13400,22355,24492,23275,27222,24679,26614,22402,23930,24976,24445,26489,23104,22620,20966,24414,25600,23618,17878,16864,23587,22682,22230,20654,23041,29016,33556,33524,31332,24917,22944
2014F,AK,CLPRK,15.6,15.6,15.6,15.6,15.6,15.6,15.6,15.6,15.6,15.6,15.6,15.6,15.6,15.6,15.6,15.6,15.6,15.6,15.6,15.6,15.6,15.6,15.6,15.6,15.6,15.6,15.6,15.6,15.6,15.6,15.6,15.6,15.6,15.6,15.6,15.6,15.6,15.6,15.6,15.6,15.6,15.6,15.6,15.6,15.6,15.6,15.6,15.6,15.6,15.6,15.6,15.6,15.268,15.272,15.278
2014F,AK,CLPRP,722,737,871,853,745,893,927,925,750,667,549,698,668,694,700,766,706,705,731,789,791,808,833,786,859,1433,1570,1492,1745,1582,1706,1436,1534,1601,1567,1698,1481,1450,1344,1565,1641,1514,1146,1081,1512,1454,1425,1324,1477,1860,2151,2149,2052,1632,1502
2014F,AK,COPRK,5.8,5.8,5.8,5.8,5.8,5.8,5.8,5.8,5.8,5.8,5.8,5.8,5.8,5.8,5.8,5.8,5.8,5.8,5.8,5.8,5.8,5.8,5.8,5.8,5.8,5.8,5.8,5.8,5.8,5.8,5.8,5.8,5.8,5.8,5.8,5.8,5.8,5.8,5.8,5.8,5.8,5.8,5.8,5.8,5.8,5.8,5.8,5.8,5.8,5.8,5.8,5.8,5.8,5.8,5.8
2014F,AK,EMFDB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014F,AK,ENPRP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014F,AK,NGMPB,248,637,2205,4541,6332,7324,11374,14575,17508,51347,112636,122427,127755,134272,131761,163487,169318,191411,204894,222210,232344,244732,265372,278152,295471,336809,315801,404383,431000,436221,432359,500740,512422,496655,621304,546410,556012,551062,545546,540279,547942,552013,538153,561475,542458,547245,496012,488097,447422,442657,418483,404720,398349,380190,381633
2014F,AK,NGMPK,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.007,1.017,1.025,1.022,1.02,1.02,1.019,1.009,1.007,1.008,1.009,1.004,1.005,1.022,1.048,1.036,1.124,1.138,1.108,1.073,1.144,1.155,1.154,1.119,1.164,1.156,1.177,1.169,1.167,1.194,1.171,1.162,1.146,1.15,1.123,1.115,1.126,1.123,1.115,1.118,1.136,1.134,1.124,1.105
2014F,AK,NGMPP,246,631,2184,4498,6272,7255,11267,14438,17343,50864,111576,121618,125596,131007,128935,160270,166072,187889,203088,220754,230588,242564,264364,276691,289129,321346,304841,359837,378638,393729,402907,437822,443597,430350,555402,469550,480828,468311,466648,462967,458995,471440,463301,489757,471899,487282,444724,433485,398442,397077,374226,356225,351259,338182,345331
2014F,AK,NUETB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014F,AK,PAPRB,3242,36697,59502,62292,64142,64542,83276,168931,383983,428927,484973,461065,422779,419473,409497,405037,367708,981366,2601996,2965743,3431547,3406555,3589678,3628057,3656326,3864151,3951598,4152539,4281229,3967078,3754392,3806824,3638468,3349471,3299916,3141593,2957994,2743104,2487330,2222554,2060154,2038184,2084416,2062497,1928158,1829245,1568790,1528851,1449269,1365848,1269643,1188008,1115734,1090133,1050815
2014F,AK,PAPRP,559,6327,10259,10740,11059,11128,14358,29126,66204,73953,83616,79494,72893,72323,70603,69834,63398,169201,448620,511335,591646,587337,618910,625527,630401,666233,681310,715955,738143,683979,647309,656349,627322,577495,568951,541654,509999,472949,428850,383199,355199,351411,359382,355603,332441,315387,270481,263595,249874,235491,218904,204829,192368,187954,181175
2014F,AK,REPRB,6800,7313,7453,7793,8102,8519,8328,8457,8486,8455,8835,9094,8673,7844,8329,8608,9201,11449,10809,10733,8321,9216,8745,9591,11152,11783,10706,12000,12759,18342,18357,17357,18300,20551,23587,22506,21187,14994,13291,10212,12205,16974,17922,19374,18416,15867,13298,14037,12913,15686,16525,15727,17687,18619,19737
2014F,AK,ROPRB,6800,7313,7453,7793,8102,8519,8328,8457,8486,8455,8835,9094,8673,7844,8329,8608,9201,11449,10809,10733,8321,9216,8745,9591,11152,11783,10706,12000,12759,18342,18357,17357,18300,20551,23587,22506,21187,14994,13291,10212,12205,16974,17922,19374,18416,15867,13298,14037,12913,15686,16525,15727,17687,18619,19737
2014F,AK,TEPRB,21554,56144,82748,87933,90198,94316,117440,206393,421678,499135,615009,603475,569628,572417,560508,589081,557241,1195224,2829103,3210995,3684552,3673107,3876789,3928061,3976349,4235098,4302597,4592198,4752211,4446320,4231722,4347323,4193120,3891653,3969253,3736998,3558296,3331780,3067133,2797459,2645900,2630790,2658369,2660210,2512619,2415039,2100329,2051639,1932646,1853208,1738207,1641980,1563102,1513859,1475129
2014F,AK,TETCB,61434,72174,78813,80788,85067,87781,102698,115172,122532,156633,182043,200968,214384,196970,201495,232186,254674,293532,324057,299782,295757,279672,409072,437637,482898,474439,504260,499218,521404,576194,584083,602660,627237,623702,623159,704170,718796,708823,723309,725402,742138,735820,732973,733500,775038,797700,746316,723083,650421,639695,653221,653637,649341,621107,603119
2014F,AL,CLPRB,318818,316466,315608,302842,353712,363440,348419,379465,402842,427738,503797,439720,510021,453403,463397,534693,508453,505588,492162,579943,633365,592489,645392,577139,657109,676254,634516,627490,649791,680322,707762,662161,623932,600869,568577,607150,607031,600683,568308,477574,472699,469962,460201,486363,531179,518423,443032,469036,506837,459529,493094,468671,488084,469162,414366
