State,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
AL,3274,3316,3323,3358,3395,3443,3464,3458,3446,3440,3444354,3497076,3539400,3579780,3626499,3678814,3735139,3780403,3831836,3866248,3893888,3918531,3925266,3934102,3951820,3972523,3991569,4015264,4023844,4030222,4040587,4050055,4099156,4154014,4214202,4260229,4296800,4331102,4367935,4404701,4430141,4467634,4480089,4503491,4530729,4569805,4628981,4672840,4718206,4757938,4785298,4799918,4815960,4829479,4843214,4853875,4863300
AK,229,238,246,256,263,271,271,278,285,296,302583,315510,324464,330543,341063,376170,400969,403436,404766,402753,401851,418491,449606,488417,513702,532495,544268,539309,541983,547159,550043,553290,570193,588736,599432,603308,604412,608569,612968,619932,624779,633714,642337,648414,659286,666946,675302,680300,687455,698895,713985,722713,731089,736879,736705,737709,741894
AZ,1321,1407,1471,1521,1556,1584,1614,1646,1682,1737,1775399,1895814,2008291,2124438,2223196,2284847,2346157,2425197,2515316,2635571,2718215,2810107,2889861,2968925,3067135,3183538,3308262,3437103,3535183,3622185,3665228,3684097,3788576,3915740,4065440,4245089,4432499,4586940,4736990,4883342,5023823,5273477,5396255,5510364,5652404,5839077,6029141,6167681,6280362,6343154,6413737,6467163,6549634,6624617,6719993,6817565,6931071
AR,1789,1806,1853,1875,1897,1894,1899,1901,1902,1913,1923322,1972312,2018638,2059256,2101403,2159526,2170161,2209010,2243127,2271333,2286435,2293201,2294257,2305761,2319768,2327046,2331984,2342355,2342656,2346358,2350725,2356586,2383144,2415984,2456303,2494019,2535399,2572109,2601090,2626289,2651860,2691571,2705927,2724816,2749686,2781097,2821761,2848650,2874554,2896843,2921606,2939493,2950685,2958663,2966912,2977853,2988248
CA,15870,16497,17072,17668,18151,18585,18858,19176,19394,19711,19971069,20345939,20585469,20868728,21173865,21537849,21935909,22352396,22835958,23256880,23667902,24285933,24820009,25360026,25844393,26441109,27102237,27777158,28464249,29218164,29760021,29959515,30470736,30974659,31274928,31484435,31696582,32018834,32486010,32987675,33499204,34479458,34871843,35253159,35574576,35827943,36021202,36250311,36604337,36961229,37349363,37676861,38011074,38335203,38680810,38993940,39250017
CO,1769,1844,1899,1936,1970,1985,2007,2053,2120,2166,2209596,2303524,2404619,2495868,2541406,2586192,2632306,2696140,2766748,2849234,2889964,2977898,3061564,3133630,3169992,3208723,3237450,3260480,3262281,3275818,3294394,3307618,3387119,3495939,3613734,3724168,3826653,3919972,4018293,4116639,4226018,4425687,4490406,4528732,4575013,4631888,4720423,4803868,4889730,4972195,5049071,5118360,5189867,5267603,5349648,5448819,5540545
CT,2544,2586,2647,2727,2798,2857,2903,2935,2964,3000,3032217,3060938,3068699,3067814,3074047,3082500,3083335,3085722,3091627,3095917,3107576,3128836,3139013,3162354,3180014,3201131,3223740,3247291,3271953,3283403,3287116,3291967,3302895,3300712,3309175,3316121,3324144,3336685,3349348,3365352,3386401,3432835,3458749,3484336,3496094,3506956,3517460,3527270,3545579,3561807,3577073,3589893,3593795,3596003,3591873,3584730,3576452
DE,449,461,469,483,497,507,516,525,534,540,548104,564708,572913,577759,581418,586589,590166,591829,594776,594984,594338,595975,599148,605458,611565,618280,627559,636947,647622,658273,666168,669567,683080,694925,706378,717545,729734,740977,751487,763335,774990,795699,806169,818003,830803,845150,859268,871749,883874,891730,899769,907924,916993,925395,934948,944076,952065
DC,765,778,788,798,798,797,791,791,778,762,756668,749781,742241,731488,717947,706871,692295,677228,665052,650016,638333,636893,634174,632433,633382,634549,638269,636930,630432,624168,606900,605321,600870,597565,595301,589239,580517,572377,567736,565230,570213,574504,573158,568502,567754,567136,570681,574404,580236,592228,604453,620477,635327,649165,659005,670377,681170
FL,5004,5243,5458,5628,5781,5954,6104,6242,6433,6641,6791418,7158304,7511463,7913696,8298762,8518422,8667379,8856183,9102032,9426159,9746324,10192774,10471407,10749851,11039925,11351118,11667505,11997283,12306395,12637715,12937926,13033307,13369798,13650553,13927185,14239444,14537875,14853360,15186304,15486559,15759421,16356966,16689370,17004085,17415318,17842038,18166990,18367842,18527305,18652644,18843326,19096952,19344156,19582022,19888741,20244914,20612439
GA,3956,4015,4086,4172,4258,4332,4379,4408,4482,4551,4587930,4711550,4809490,4910374,4999419,5064075,5132812,5219697,5295751,5401384,5463105,5568345,5649792,5728250,5834954,5962661,6084666,6208467,6316142,6411099,6478216,6512602,6653005,6817203,6978240,7157165,7328413,7501069,7685099,7863536,8045965,8377038,8508256,8622793,8769252,8925922,9155813,9349988,9504843,9620846,9712587,9811610,9914668,9984938,10087231,10199398,10310371
HI,642,659,684,682,700,704,710,723,734,750,769913,801644,828331,851595,867978,886160,904191,918259,931584,953306,964691,978195,993780,1012717,1027922,1039698,1051762,1067918,1079828,1094588,1108229,1113491,1136754,1158613,1172838,1187536,1196854,1203755,1211640,1215233,1210300,1225948,1239613,1251154,1273569,1292729,1309731,1315675,1332213,1346717,1363621,1377864,1391820,1406481,1416349,1425157,1428557
