StateName,StateCode,Total Area sqmi,Total Area sqkm,Land Area sqmi,Land Area sqkm,Latitude,Longitude
Alabama,AL,52420,135767,50645,131171,32.7396323,-86.8434593
Alaska,AK,665384,1723337,570641,1477953,63.346191,-152.8370679
Arizona,AZ,113990,295234,113594,294207,34.2099643,-111.602401
Arkansas,AR,53179,137732,52035,134771,34.8955256,-92.4446262
California,CA,163695,423967,155779,403466,37.148573,-119.5406515
Colorado,CO,104094,269601,103642,268431,38.9935752,-105.5077737
Connecticut,CT,5543,14357,4842,12542,41.5797842,-72.7466666
Delaware,DE,2489,6446,1949,5047,38.9935501,-75.4473739
District of Columbia,DC,68,177,61,158,38.9041485,-77.0170942
Florida,FL,65758,170312,53625,138887,28.4574302,-82.4091478
Georgia,GA,59425,153910,57513,148959,32.629384,-83.4232125
Hawaii,HI,10932,28313,6423,16635,19.809767,-155.5061027
Idaho,ID,83569,216443,82643,214045,44.3020948,-114.5956254
Illinois,IL,57914,149995,55519,143793,40.1028754,-89.1526108
Indiana,IN,36420,94326,35826,92789,39.9030256,-86.2839503
Iowa,IA,56273,145746,55857,144669,42.0700243,-93.4933473
Kansas,KS,82278,213100,81759,211754,38.4985464,-98.3834298
Kentucky,KY,40408,104656,39486,102269,37.5336807,-85.2929841
Louisiana,LA,52378,135659,43204,111898,30.8577705,-91.803273
Maine,ME,35380,91633,30843,79883,45.3906022,-68.6574869
Maryland,MD,12406,32131,9707,25142,38.9466584,-76.6744939
Massachusetts,MA,10554,27336,7800,20202,42.1565196,-71.4895915
Michigan,MI,96714,250487,56539,146435,44.8410835,-85.6593197
Minnesota,MN,86936,225163,79627,206232,46.3161343,-94.1994801
Mississippi,MS,48432,125438,46923,121531,32.6864655,-89.6561493
Missouri,MO,69707,180540,68742,178040,38.35075,-92.4567826
Montana,MT,147040,380831,145546,376962,47.0511771,-109.6348174
Nebraska,NE,77348,200330,76824,198974,41.5438105,-99.8123253
Nevada,NV,110572,286380,109781,284332,39.3310928,-116.6151469
New Hampshire,NH,9349,24214,8953,23187,43.6708595,-71.5811278
New Jersey,NJ,8723,22591,7354,19047,40.1072744,-74.6652012
New Mexico,NM,121590,314917,121298,314161,34.4391265,-106.1261511
New York,NY,54555,141297,47126,122057,42.9133974,-75.5962723
North Carolina,NC,53819,139391,48618,125920,35.53971,-79.1308636
North Dakota,ND,70698,183108,69001,178711,47.4569538,-100.4619304
Ohio,OH,44826,116098,40861,105829,40.4149297,-82.7119975
Oklahoma,OK,69899,181037,68595,177660,35.5894185,-97.4868683
Oregon,OR,98379,254799,95988,248608,43.9715225,-120.6226269
Pennsylvania,PA,46054,119280,44743,115883,40.9042486,-77.8280624
Rhode Island,RI,1545,4001,1034,2678,41.5978358,-71.5252895
South Carolina,SC,32020,82933,30061,77857,33.8741769,-80.8542699
South Dakota,SD,77116,199729,75811,196350,44.4467957,-100.2381762
Tennessee,TN,42144,109153,41235,106798,35.8585639,-86.3493573
Texas,TX,268596,695662,261232,676587,31.4347032,-99.2818238
Utah,UT,84897,219882,82170,212818,39.3349735,-111.6563633
Vermont,VT,9616,24906,9217,23871,44.0605475,-72.673354
Virginia,VA,42775,110787,39490,102279,37.5222512,-78.6681938
Washington,WA,71298,184661,66456,172119,47.4162296,-120.5996231
West Virginia,WV,24230,62756,24038,62259,38.6472854,-80.6183274
Wisconsin,WI,65496,169635,54158,140268,44.628484,-89.7119299
Wyoming,WY,97813,253335,97093,251470,42.9918024,-107.5419255
