Fips,Area,StateCode,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997
0,United States,US,607008,650513,704697,767075,811782,887569,962902,1012299,1097173,1210292,1356500,1472024,1602228,1780497,1986408,2243230,2489416,2713933,3057318,3211370,3445372,3853668,4126664,4340813,4649020,5053003,5366080,5651747,5842665,6167644,6467698,6912844,7299372,7749965,8284432
1000,Alabama,AL,7343,8220,8994,9847,10053,10977,11866,12475,13624,15356,17428,19454,21346,24324,26725,30546,33712,36142,40257,41778,45679,50010,53824,56134,60752,66008,68394,71610,76043,81260,84563,90098,95819,100146,104805
2000,Alaska,AK,1083,1230,1374,1494,1643,1899,2073,2359,2539,2743,3041,3999,6220,7470,7544,9130,10891,15282,21824,23461,22591,23787,26142,19181,22925,21270,23453,25040,22283,22753,23284,23605,25449,26737,27581
4000,Arizona,AZ,4482,4817,5028,5527,5783,6593,7563,8569,9649,11292,13330,14611,15284,16970,19609,23279,27495,30764,34269,35794,39774,46135,50709,55881,60047,64945,67895,70632,73358,82682,89300,100374,109906,119530,129279
5000,Arkansas,AR,3791,4148,4446,4868,5132,5704,6232,6667,7440,8494,9886,10865,11942,13704,15182,17477,19099,20276,22891,23527,25292,28465,29326,30799,32664,35004,37128,38680,41572,45018,47566,51416,54612,57976,60333
6000,California,CA,67809,73513,78253,84627,89571,98721,106629,111985,120372,133143,147231,161815,178394,197347,229592,262803,293491,327958,368808,393788,426143,482166,523906,563082,615359,671575,722979,773460,790046,807358,826447,861360,911577,964186,1037091
8000,Colorado,CO,5925,6228,6631,7275,7666,8540,9480,10431,11998,13784,16120,17852,20166,22253,25428,29398,33785,38332,43974,47654,50718,56230,59641,60970,63920,67757,71179,75571,79766,87302,95659,104507,112708,121081,133204
9000,Connecticut,CT,9877,10551,11456,12812,13595,14303,15627,16347,17129,18799,20808,22502,23976,26233,29598,33231,36855,40770,45642,50196,55528,63618,69231,75305,82984,90707,95831,100169,101475,105759,107680,113115,123212,129111,140280
10000,Delaware,DE,1885,2068,2313,2482,2605,2884,3069,3166,3623,3984,4516,4737,5025,5470,6056,6747,7304,7898,8839,9498,10611,11925,13092,14138,15568,16887,18900,19928,21746,22907,23509,25638,27721,29156,31450
11000,District of Columbia,DC,5137,5553,6037,6454,7183,7749,8096,8559,9180,9896,10400,11424,12712,13945,15581,16953,18417,19862,21740,22958,24573,26584,28534,30079,32129,35226,37469,39688,41430,43187,45356,46655,47094,47823,49702
12000,Florida,FL,14684,16025,17445,19182,21123,23793,27427,30691,34161,39709,46973,52123,55288,58729,65272,75681,86263,97899,112167,122282,136768,155993,170894,185852,204816,224848,241633,256589,267669,284673,304403,327167,346951,370912,393074
13000,Georgia,GA,10318,11253,12519,13808,14711,16424,18082,19365,21570,24610,28226,30378,31995,36425,40785,46154,51550,56229,63751,68451,76738,88466,98223,108089,117033,126565,133794,140646,147760,160062,171659,187996,203397,219989,235200
15000,Hawaii,HI,2367,2571,2849,3110,3307,3722,4262,4813,5188,5624,6353,7143,8173,8526,9441,10508,11869,13380,14640,15740,17260,19132,20722,22437,24273,26799,29427,32534,34357,36129,36732,37395,37763,38125,39064
16000,Idaho,ID,1841,1946,2197,2273,2335,2497,2750,3015,3265,3773,4481,5186,5835,6591,7206,8450,9286,9916,10677,10689,11834,12586,13044,13220,13996,15285,16909,18004,18852,20632,23100,25455,27762,28915,30312
17000,Illinois,IL,39514,42478,45978,50435,52817,56331,60840,62763,67379,73501,81286,88070,95880,104819,115077,128122,139253,145264,159649,164267,173119,194244,206281,218696,231210,252197,266608,279019,288473,306236,320079,347971,364451,383504,408048
18000,Indiana,IN,15636,16723,18518,20049,20951,22646,24212,24546,26882,29954,33972,35606,37677,43775,47901,53729,57917,58870,64724,64982,69335,78859,82011,86437,91650,99492,107199,110860,114637,124714,132108,143335,150404,158350,167366
19000,Iowa,IA,7921,8350,9196,10202,10617,11273,12332,12957,13666,15311,18502,19341,21993,24436,27011,30763,33496,34582,38272,37289,37481,41264,42431,43226,45283,49088,52907,56121,57944,61870,63386,70161,73137,78819,83113
20000,Kansas,KS,6135,6418,6831,7401,7760,8487,9166,9755,10824,12127,14000,15063,16855,18953,20539,22824,26300,28298,31978,33491,35257,38442,40658,41795,44164,46698,48814,51874,53981,56902,58953,63304,65282,69616,74147
21000,Kentucky,KY,8355,8774,9518,10378,11041,12212,13206,13943,15568,16915,18903,21173,22810,26040,29176,32683,35838,37017,41068,42184,44092,49344,51893,53199,56282,61851,65525,68412,71679,77531,81618,87646,91915,96617,103621
22000,Louisiana,LA,9659,10468,11453,12774,14022,15076,16321,17177,18634,20294,22735,26892,30675,34413,39670,45212,51653,63925,77201,78067,76881,82623,84391,77107,78488,83196,87574,95177,96043,90890,95866,105119,112876,118807,126003
23000,Maine,ME,2420,2604,2807,3001,3154,3406,3695,3959,4207,4625,5203,5603,5996,6968,7647,8449,9335,10263,11255,12115,13239,14897,16046,17382,19166,21371,22670,23256,23379,24329,25202,26543,28153,29256,30775
24000,Maryland,MD,10261,11171,12263,13563,14319,15852,17385,18720,20501,22644,25112,27381,29597,32612,35555,39526,43628,47522,53117,56339,62205,69920,76878,83744,91380,101280,107444,112835,115428,119535,125515,133311,139070,145023,154783
25000,Massachusetts,MA,17415,18625,19997,21837,23275,25226,27476,29052,30989,33807,36912,39313,41910,45498,50719,56883,62965,69684,77833,83777,93054,106425,116613,127155,138900,151625,158200,159505,160728,167435,173527,185710,196409,210630,226880
26000,Michigan,MI,30466,32575,37000,39260,40025,44727,47894,46178,51704,56579,62907,63034,67046,78770,89326,99335,105413,104134,114676,115166,127754,143678,153605,163458,169237,180621,190626,193103,197717,212057,226368,251484,256615,270320,286408
27000,Minnesota,MN,10745,11353,12480,13747,14616,16149,17681,18699,20035,21925,26001,27689,29683,32840,36830,41641,46861,50219,55404,57472,61950,71369,75832,79450,85365,91896,98313,102757,106102,114518,117947,128167,135124,145880,156650
28000,Mississippi,MS,4425,4524,4925,5319,5652,6267,6801,7253,7923,9183,10557,11281,12292,14552,15957,17758,20011,21353,24023,24614,25967,28744,30138,30996,33531,35534,37208,38757,40862,44012,47340,51602,54984,57460,59875
29000,Missouri,MO,13613,14454,15625,16843,17843,19711,21095,22230,24245,26414,29275,30468,33001,37211,41150,46176,50601,52420,57763,60699,65538,74539,77912,83330,88912,95760,101412,103566,109162,115288,118906,130567,140060,148257,158308
30000,Montana,MT,1974,2024,2178,2349,2362,2531,2761,2919,3143,3661,4341,4661,5218,6032,6350,7443,8173,8925,10201,10206,10584,11010,10941,10979,11383,11703,12630,13242,13875,14937,16054,17062,17519,18119,18932
31000,Nebraska,NE,4262,4400,4749,5205,5486,5823,6537,6907,7660,8487,9961,10440,11875,13042,13874,15851,17423,18294,20863,21265,21820,24631,25717,26045,26760,29262,31332,33734,35613,38214,39353,43504,45111,49007,50308
32000,Nevada,NV,1819,1933,2032,2131,2248,2549,2947,3262,3611,3990,4530,4966,5529,6263,7416,8932,10295,11633,13203,13885,15060,16514,17945,19731,21951,24987,27847,30980,32786,36052,40039,45173,49249,54419,59467
33000,New Hampshire,NH,1651,1812,1961,2169,2370,2596,2817,3050,3332,3626,4173,4470,4842,5511,6298,7389,8351,9263,10480,11407,12629,14767,16578,18369,20994,22937,23777,23768,24763,26332,27362,29190,31876,34561,36935
34000,New Jersey,NJ,23388,24774,26655,29027,30976,33657,35852,38492,41307,45388,49301,52987,56052,60496,65839,72918,81051,88334,98755,105759,117962,133572,145929,158836,174629,194709,205075,214357,221915,230774,240389,251573,263468,278191,292671
35000,New Mexico,NM,3030,3156,3311,3452,3514,3806,4091,4431,4822,5406,6189,7116,8098,9254,10102,11536,13141,15731,18511,19242,19882,21397,22534,21807,22429,23457,24927,26600,30295,32638,36876,41685,42146,44532,48683
36000,New York,NY,70640,75542,80347,86559,92078,99817,107031,112349,119145,127221,136396,145419,155256,163284,179890,200063,217725,235746,261840,282227,305288,339427,364281,390104,418306,456557,473252,493192,497336,519704,537504,555322,582656,620153,664679
37000,North Carolina,NC,12639,13482,14544,15966,17155,18962,20882,22840,25035,28005,31755,33607,35998,40454,43822,49867,54515,58791,65869,68971,77543,88151,96535,104785,113262,124303,133866,139658,146367,159337,168006,181288,193467,203815,221259
